Pressure,Resistance
0,550
1,600
2,650
3,700
4,750
5,800
6,850
7,900
8,950
9,1000
10,1100
11,1280
12,1460
13,1640
14,1820
2
16,2200
17,2400
18,2600
19,2800
20,3000
21,3200
22,3400
23,3600
24,3800
25,4000
26,4200
27,4400
28,4600
29,4800
30,5000
31,5200
32,5400
33,5600
34,5800
35,6000
36,6160
37,6320
38,6480
39,6640
40,6800
41,6960
42,7120
43,7280
44,7440
45,7600
46,7760
47,7920
48,8080
49,8240
50,8400
51,8560
52,8720
53,8880
54,9040
55,9200
56,9350
57,9500
58,9650
59,9800
60,9950
61,10100
62,10250
63,10400
64,10550
65,10700
66,10850
67,11000
68,11150
69,11300
70,11450
71,11600
72,11750
73,11900
74,12050
75,12200
76,12335
77,12470
78,12605
79,12740
80,12875
81,13010
82,13145
83,13280
84,13415
85,13550
86,13685
87,13820
88,13955
89,14090
90,14225
91,14360
92,14495
93,14630
94,14765
95,14900
96,15035
97,15170
98,15305
99,15440
100,15575
101,15700
102,15825
103,15950
104,16075
105,16200
106,16325
107,16450
108,16575
109,16700
110,16825
111,16950
112,17075
113,17200
114,17325
115,17450
116,17575
117,17700
118,17825
119,17950
120,18075
121,18200
122,18325
123,18450
124,18575
125,18700
126,18825
127,18950
128,19075
129,19200
130,19325
131,19450
132,19575
133,19700
134,19825
135,19950
136,20075
137,20200
138,20325
139,20450
140,20575
141,20700
142,20825
143,20950
144,21075
145,21200
146,21325
147,21450
148,21575
149,21700
150,21825
151,21950
152,22075
153,22200
154,22325
155,22450
156,22575
157,22700
158,22825
159,22950
160,23075
161,23200
162,23325
163,23450
164,23575
165,23700
166,23825
167,23950
168,24075
169,24200
170,24325
171,24450
172,24575
173,24700
174,24825
175,24950
176,25075
177,25200
178,25325
179,25450
180,25575
181,25700
182,25825
183,25950
184,26075
185,26200
186,26325
187,26450
188,26575
189,26700
190,26825
191,26950
192,27075
193,27200
194,27325
195,27450
196,27575
197,27770
198,27825
199,27950
